title,price,brand,source,link,image,search_query,page,is_gaming,date_scraped,brand_detected,ram_gb,storage_gb,price_category,log_price,price_per_gb_ram,price_scaled,log_price_scaled,cluster_id,cluster,anomaly_iqr,anomaly_iqr_type,anomaly_zscore,zscore_value,anomaly_zscore_type,anomaly_iforest,anomaly_iforest_score
DELL ORDINATEUR PORTABLE Latitude 5420 11th i7 11 eme gen / 32 Gb / 512 SSD TACTILE,5500.0,DELL,Jumia,https://www.jumia.ma/dell-ordinateur-portable-latitude-5420-11th-i7-11-eme-gen-32-gb-512-ssd-tactile-67154595.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/545176/1.jpg?0423,ordinateur portable,19,False,2026-04-17 11:40:50,Dell,32.0,,milieu_de_gamme_bas,3.7403626894942437,171.875,-0.20689655172413793,-0.26207793233400223,0,Haut de gamme,False,normal,False,0.392,normal,True,-0.6137
"Hp EliteBook 830 G8 (tactile) , Core i7 (11éme Génération) , 32 Go Ram , 512 Go SSD M.2 NVMe",5850.0,Hp,Jumia,https://www.jumia.ma/hp-elitebook-830-g8-tactile-core-i7-11eme-generation-32-go-ram-512-go-ssd-m.2-nvme-66067526.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/576066/1.jpg?0045,hp elitebook,4,False,2026-04-17 11:58:33,HP,32.0,512.0,milieu_de_gamme_bas,3.7671558660821804,182.8125,-0.18275862068965518,-0.22493607200069252,1,Milieu de gamme,False,normal,False,0.3326,normal,True,-0.6527
Hp PC Portable ELITEBOOK 840 G8 - INTEL CORE I7-11ème GÉNÉRATION - 32GB - 512GB SSD - FHD - À NEUF,6299.0,Hp,Jumia,https://www.jumia.ma/pc-portable-elitebook-840-g8-intel-core-i7-11eme-generation-32gb-512gb-ssd-fhd-a-neuf-hp-mpg1536305.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/276276/1.jpg?0162,pc portable,8,False,2026-04-17 11:36:31,HP,32.0,512.0,milieu_de_gamme_bas,3.7992716083498728,196.84375,-0.15179310344827587,-0.1804158408928867,1,Milieu de gamme,False,normal,False,0.2614,normal,True,-0.6514
Hp EliteBook 840 G9 – Intel Core i7-1265U – 32Go RAM – 512Go SSD – Intel Iris Xe Graphics (Occasion comme neuf),7180.0,Hp,Jumia,https://www.jumia.ma/hp-elitebook-840-g9-intel-core-i7-1265u-32go-ram-512go-ssd-intel-iris-xe-graphics-occasion-comme-neuf-67722721.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/722776/1.jpg?1540,hp elitebook,5,False,2026-04-17 11:58:37,HP,32.0,512.0,milieu_de_gamme_bas,3.8561244442423,224.375,-0.0910344827586207,-0.10160398059186371,1,Milieu de gamme,False,normal,False,0.1353,normal,True,-0.6524
Hp EliteBook 840 G10 – Intel Core i7-1365U – 32Go RAM – 512Go SSD PCIe 4.0 – Intel Iris Xe Graphics (Occasion comme neuf),8150.0,Hp,Jumia,https://www.jumia.ma/hp-elitebook-840-g10-intel-core-i7-1365u-32go-ram-512go-ssd-pcie-4.0-intel-iris-xe-graphics-occasion-comme-neuf-67723314.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/332776/1.jpg?4103,pc portable hp,9,False,2026-04-17 11:50:40,HP,32.0,512.0,milieu_de_gamme,3.9111576087399764,254.6875,-0.02413793103448276,-0.0253146274886918,1,Milieu de gamme,False,normal,False,0.0133,normal,True,-0.6525
"Asus Pc portable Vivobook 15 X1504VA - intel® Core™ i7 - RAM: 16Go / 1To SSD - 15.6""",8290.0,Asus,Jumia,https://www.jumia.ma/asus-pc-portable-vivobook-15-x1504va-intelr-coretm-i7-ram-16go-1to-ssd-15.6-67622196.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/122676/1.jpg?4355,pc portable,18,False,2026-04-17 11:37:25,Asus,16.0,1000.0,milieu_de_gamme,3.9185545305502734,518.125,-0.014482758620689656,-0.015060694519125343,2,Premium,False,normal,False,0.0031,normal,True,-0.677
"DELL Inspiron i5630 - i7-1360P - 16 Go RAM - 1 To SSD NVMe - 16"" FHD - Azerty",9200.0,DELL,Jumia,https://www.jumia.ma/dell-inspiron-i5630-i7-1360p-16-go-ram-1-to-ssd-nvme-16-fhd-azerty-65183529.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/538156/1.jpg?2069,pc portable,24,False,2026-04-17 11:37:54,Dell,16.0,1000.0,milieu_de_gamme,3.963787827345555,575.0,0.04827586206896552,0.04764365807868926,2,Premium,False,normal,False,0.1033,normal,True,-0.6778
"Msi PC Gamer MPG Trident 3 - i7-11700F, 16 Go RAM, SSD 1 To, RTX 3060 12 Go, Noir",12000.0,Msi,Jumia,https://www.jumia.ma/msi-pc-gamer-mpg-trident-3-i7-11700f-16-go-ram-ssd-1-to-rtx-3060-12-go-noir-66081113.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/118066/1.jpg?0485,pc portable,8,True,2026-04-17 11:36:31,MSI,16.0,1000.0,milieu_de_gamme,4.079181246047625,750.0,0.2413793103448276,0.20760700646139205,2,Premium,False,normal,False,0.3592,normal,True,-0.6701
Acer PC Portable TravelMate P2 15 U7 -16GB -1To SSD -DOS,13263.0,Acer,Jumia,https://www.jumia.ma/pc-portable-travelmate-p2-15-u7-16gb-1to-ssd-dos-acer-mpg1572966.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/924676/1.jpg?1709,pc portable acer,1,False,2026-04-17 11:51:23,Acer,16.0,1000.0,milieu_de_gamme,4.122641769625536,828.9375,0.32848275862068965,0.26785386414343576,2,Premium,False,normal,False,0.4555,normal,True,-0.6642
Asus PC portable Zenbook A14 16 Go -1 To SSD -W11H,13447.0,Asus,Jumia,https://www.jumia.ma/asus-pc-portable-zenbook-a14-16-go-1-to-ssd-w11h-67586595.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/568576/1.jpg?2551,pc portable,18,False,2026-04-17 11:37:25,Asus,16.0,1000.0,milieu_de_gamme,4.12862540487595,840.4375,0.3411724137931034,0.2761486381515463,2,Premium,False,normal,False,0.4688,normal,True,-0.6627
Asus Zenbook ux3407qa purwa se 14'' OLED WUXGA non-tactile 16 Go 1 To SSD Windows 11 Home gris islande 24 mois,13447.0,Asus,Jumia,https://www.jumia.ma/asus-zenbook-ux3407qa-purwa-se-14-oled-wuxga-non-tactile-16-go-1-to-ssd-windows-11-home-gris-islande-24-mois-67405241.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/250476/1.jpg?3101,asus zenbook,1,False,2026-04-17 12:00:50,Asus,16.0,1000.0,milieu_de_gamme,4.12862540487595,840.4375,0.3411724137931034,0.2761486381515463,2,Premium,False,normal,False,0.4688,normal,True,-0.6627
Asus PC portable Vivobook X1502VA -I7 - 16Go -1To SSD -W11H,13733.0,Asus,Jumia,https://www.jumia.ma/pc-portable-vivobook-x1502va-i7-16go-1to-ssd-w11h-asus-mpg1572858.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/454676/1.jpg?6033,pc portable,32,False,2026-04-17 11:38:27,Asus,16.0,1000.0,milieu_de_gamme,4.137765420057343,858.3125,0.3608965517241379,0.28881892255016645,2,Premium,False,normal,False,0.4891,normal,True,-0.6677
