title,price,brand,source,link,image,search_query,page,is_gaming,date_scraped
"DELL PC portable Latitude 5491 i5 8ème, 16Go DDR4, 512Go SSD, 14"" QWERTY - Remis à neuf",289900,DELL,Jumia,https://www.jumia.ma/dell-pc-portable-latitude-5491-i5-8eme-16go-ddr4-512go-ssd-14-qwerty-remis-a-neuf-64229361.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/392246/1.jpg?9104,pc portable,6,False,2026-04-19 00:28:57
E-TABLE pliable pour PC Portable Réglable avec Ventilateur - E-TABLE,17900,E-TABLE,Jumia,https://www.jumia.ma/generic-e-table-pliable-pour-pc-portable-reglable-avec-ventilateur-e-table-60719926.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/991706/1.jpg?9746,pc portable,6,False,2026-04-19 00:28:57
Hp PC Portable ELITEBOOK 840 G8 - INTEL CORE I7-11ème GÉNÉRATION - 32GB - 512GB SSD - FHD - À NEUF,629900,Hp,Jumia,https://www.jumia.ma/pc-portable-elitebook-840-g8-intel-core-i7-11eme-generation-32gb-512gb-ssd-fhd-a-neuf-hp-mpg1536305.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/276276/1.jpg?0162,pc portable,7,False,2026-04-19 00:29:06
Hp PC PORTABLE ELITEBOOK 840 5ÉME GÉN-CORE I5-8Go-256 Go SSD -Remis à neuf,189900,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-elitebook-840-5eme-gen-core-i5-8go-256-go-ssd-remis-a-neuf-64120966.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/902146/1.jpg?8062,pc portable,7,False,2026-04-19 00:29:06
Mémoire RAM DDR3 8GB 1600MHz PC3L-12800 pour PC portable,23000,Mémoire,Jumia,https://www.jumia.ma/generic-memoire-ram-ddr3-8gb-1600mhz-pc3l-12800-pour-pc-portable-67726062.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/062776/1.jpg?1323,pc portable,7,False,2026-04-19 00:29:06
Lenovo PC PORTABLE  Thinkpad T480S Core i5-8ème Génération-RAM 8GB -5256SSD-AZERTY- TACTILE-GARANTIE 6 MOIS-Remis a Neuf/,439900,Lenovo,Jumia,https://www.jumia.ma/lenovo-pc-portable-thinkpad-t480s-core-i5-8eme-generation-ram-8gb-5256ssd-azerty-tactile-garantie-6-mois-remis-a-neuf-67171361.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/317176/1.jpg?4085,pc portable,7,False,2026-04-19 00:29:06
"Mini Chauffage Électrique Portable 900W – Radiateur Soufflant d’Appoint Mural & Desktop pour Chambre, Salon, Bureau & Maison – Wonder Heater Pro Sans Fil avec Contrôle de Température – Mini Heater Fan Compact Économique Anti-Froid Hiver à Air Chaud Rapide",11900,Mini,Jumia,https://www.jumia.ma/generic-mini-chauffage-electrique-portable-900w-radiateur-soufflant-dappoint-mural-desktop-pour-chambre-salon-bureau-maison-wonder-heater-pro-sans-fil-avec-controle-de-temperature-mini-heater-fan-compact-economique-anti-froid-hiver-a-air-chaud-rapide-67394312.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/349376/1.jpg?8265,pc portable,8,False,2026-04-19 00:29:10
Refroidisseur Du PC Portable - Ventilateur - Air -  Style - LED Bleu - Noir,14900,Refroidisseur,Jumia,https://www.jumia.ma/generic-refroidisseur-du-pc-portable-ventilateur-air-style-led-bleu-noir-67539877.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/893576/1.jpg?0466,pc portable,8,False,2026-04-19 00:29:10
"KIT de tournevis 115 en 1 pour lunettes, PC, ordinateur portable, téléphone portable, montre numérique",7900,KIT,Jumia,https://www.jumia.ma/generic-kit-de-tournevis-115-en-1-pour-lunettes-pc-ordinateur-portable-telephone-portable-montre-numerique-66143220.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/234166/1.jpg?9630,pc portable,8,False,2026-04-19 00:29:10
Hp PC PORTABLE HP 450 G3 6EME GEN-I7-RAM 8G-256 SSD-REMIS A NEUF - AZERTY,489900,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-hp-450-g3-6eme-gen-i7-ram-8g-256-ssd-remis-a-neuf-azerty-60053601.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/635006/1.jpg?9337,pc portable,8,False,2026-04-19 00:29:10
Mémoire RAM DDR3 8GB 1600MHz pour PC portable,25000,Mémoire,Jumia,https://www.jumia.ma/generic-memoire-ram-ddr3-8gb-1600mhz-pour-pc-portable-67219766.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/791276/1.jpg?5218,pc portable,8,False,2026-04-19 00:29:10
Hp Pc Portable ProBook x360 435 G8 Ryzen 7 Pro 5850U RAM 16Go DDR4 512Gb SSD QWERTY Tactile - Remis a neuf,700000,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-probook-x360-435-g8-ryzen-7-pro-5850u-ram-16go-ddr4-512gb-ssd-qwerty-tactile-remis-a-neuf-67384706.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/748376/1.jpg?1543,pc portable,8,False,2026-04-19 00:29:10
TABLE pliable pour PC Portable Réglable avec Ventilateur de Refroidissement Intégré.,19900,TABLE,Jumia,https://www.jumia.ma/generic-table-pliable-pour-pc-portable-reglable-avec-ventilateur-de-refroidissement-integre.-62377914.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/977326/1.jpg?5928,pc portable,8,False,2026-04-19 00:29:10
"Msi PC Gamer MPG Trident 3 - i7-11700F, 16 Go RAM, SSD 1 To, RTX 3060 12 Go, Noir",1200000,Msi,Jumia,https://www.jumia.ma/msi-pc-gamer-mpg-trident-3-i7-11700f-16-go-ram-ssd-1-to-rtx-3060-12-go-noir-66081113.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/118066/1.jpg?0485,pc portable,8,False,2026-04-19 00:29:10
Routeur sans fil pc WiFi 300 Mbps 2.4GHz repeteur réseaux ordinateur point acces,18500,Routeur,Jumia,https://www.jumia.ma/generic-routeur-sans-fil-pc-wifi-300-mbps-2.4ghz-repeteur-reseaux-ordinateur-point-acces-65930745.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/703956/1.jpg?6565,pc portable,9,False,2026-04-19 00:29:15
"Table Pliante Portable en Aluminium extra résistant (95x55x50) cm – Table Basse d’Extérieur Légère et Compacte pour Camping, Pique-Nique, Plage, Barbecue, Bureau, Ordinateur, PC, Loisirs et sorties en Plein Air",34900,Table,Jumia,https://www.jumia.ma/generic-table-pliante-portable-en-aluminium-extra-resistant-95x55x50-cm-table-basse-dexterieur-legere-et-compacte-pour-camping-pique-nique-plage-barbecue-bureau-ordinateur-pc-loisirs-et-sorties-en-plein-air-67031388.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/313076/1.jpg?4943,pc portable,9,False,2026-04-19 00:29:15
Lenovo PC PORTABLE  Thinkpad-L460 Core i5 RAM 16GB 512 SSD-6ème Génération-Remis a Neuf,269900,Lenovo,Jumia,https://www.jumia.ma/lenovo-pc-portable-thinkpad-l460-core-i5-ram-16gb-512-ssd-6eme-generation-remis-a-neuf-65925186.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/152956/1.jpg?0592,pc portable,9,False,2026-04-19 00:29:15
Hp PC Portable ELITEBOOK X360 G2 I5-7éme -8GB- 256GB SSD - TACTILE -REMIS À NEUF/,599900,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-elitebook-x360-g2-i5-7eme-8gb-256gb-ssd-tactile-remis-a-neuf-61470373.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/307416/1.jpg?4087,pc portable,9,False,2026-04-19 00:29:15
Table Pliante De PC Portable & Refroidisseur Avec Ventilateur,20900,Table,Jumia,https://www.jumia.ma/table-pliante-de-pc-portable-refroidisseur-avec-ventilateur-generic-mpg900297.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/696983/1.jpg?2225,pc portable,9,False,2026-04-19 00:29:15
Lenovo PC PORTABLE  Thinkpad T480S Core i5-8ème Génération-RAM 8GB -256 SSD-AZERTY- TACTILE-GARANTIE 6 MOIS-Remis a Neuf/,259900,Lenovo,Jumia,https://www.jumia.ma/pc-portable-thinkpad-t480s-core-i5-8eme-generation-ram-8gb-256-ssd-azerty-tactile-garantie-6-mois-remis-a-neuf-lenovo-mpg1545376.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/878176/1.jpg?0585,pc portable,9,False,2026-04-19 00:29:15
Hp PC PORTABLE ELITEBOOK 840 G5 CORE I7 8ÉME GÉN 16Go Ram 256 Go SSD-Remis à neuf,390000,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-elitebook-840-g5-core-i7-8eme-gen-16go-ram-256-go-ssd-remis-a-neuf-62804015.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/040826/1.jpg?3310,pc portable,9,False,2026-04-19 00:29:15
Team Group BARETTE Mémoire Elite DDR4 16 GO 3200 pour PC Portable,70000,Team,Jumia,https://www.jumia.ma/team-group-barette-memoire-elite-ddr4-16-go-3200-pour-pc-portable-65649156.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/194656/1.jpg?5223,pc portable,9,False,2026-04-19 00:29:15
Hp PC PORTABLE  ELITEBOOK 840 G5 8ÉME GÉN-CORE I5-32Go-512 Go SS-AZERTY-Remise à neuf,379900,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-elitebook-840-g5-8eme-gen-core-i5-32go-512-go-ss-azerty-remise-a-neuf-66965281.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/256966/1.jpg?5042,pc portable,10,False,2026-04-19 00:29:19
Lenovo PC PORTABLE Thinkpad T470 Core i5 -RAM 8GB -256 SSD -7 ème Gén -Remis a Neuf/,239900,Lenovo,Jumia,https://www.jumia.ma/lenovo-pc-portable-thinkpad-t470-core-i5-ram-8gb-256-ssd-7-eme-gen-remis-a-neuf-65304845.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/840356/1.jpg?0545,pc portable,10,False,2026-04-19 00:29:19
Hp PC PORTABLE Elitebook 840 G3 I5 6EME 8G/256GB Remis a Neuf,230000,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-elitebook-840-g3-i5-6eme-8g256gb-remis-a-neuf-41689081.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/098614/1.jpg?6344,pc portable,10,False,2026-04-19 00:29:19
Hp PC BUREAU PRODESK 600 G3-Intel Core i5 6EME GENERATION -8Go -256 Go SSD -REMIS A NEUF,129900,Hp,Jumia,https://www.jumia.ma/hp-pc-bureau-prodesk-600-g3-intel-core-i5-6eme-generation-8go-256-go-ssd-remis-a-neuf-66002435.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/420066/1.jpg?9167,pc portable,10,False,2026-04-19 00:29:19
Hp PC Portable ELITEBOOK X360 G3 I5-8éme -8GB- 512GB SSD - TACTILE -REMIS À NEUF/,369900,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-elitebook-x360-g3-i5-8eme-8gb-512gb-ssd-tactile-remis-a-neuf-65694806.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/849656/1.jpg?3757,pc portable,11,False,2026-04-19 00:29:23
SK Hynix Ram Pc Portable 1x 8GB DDR3-1600 SODIMM PC3L-12800S,29000,SK,Jumia,https://www.jumia.ma/sk-hynix-ram-pc-portable-1x-8gb-ddr3-1600-sodimm-pc3l-12800s-67574329.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/347576/1.jpg?0128,pc portable,11,False,2026-04-19 00:29:23
Hp Pc Portable EliteBook 840 G8 I5-1145g7 11éme Génération RAM 16Go DDR4 512Gb SSD QWERTY - REMIS A NEUF,415000,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-elitebook-840-g8-i5-1145g7-11eme-generation-ram-16go-ddr4-512gb-ssd-qwerty-remis-a-neuf-67167376.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/376176/1.jpg?6423,pc portable,11,False,2026-04-19 00:29:23
"Mini aspirateur de voiture automatique et souffleur d'air sans fil pour voiture, Aspirateur Trois En Un por maison, ordinateur, PC,Aspirateur",9900,Mini,Jumia,https://www.jumia.ma/generic-mini-aspirateur-de-voiture-automatique-et-souffleur-dair-sans-fil-pour-voiture-aspirateur-trois-en-un-por-maison-ordinateur-pcaspirateur-67553780.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/735576/1.jpg?4011,pc portable,11,False,2026-04-19 00:29:23
"Hp PC Portable  Probook 640 Core i5 4eme 320Gb 8GB RAM 14""- remis a neuf",199900,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-probook-640-core-i5-4eme-320gb-8gb-ram-14-remis-a-neuf-62037617.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/673026/1.jpg?1544,pc portable,11,False,2026-04-19 00:29:23
Acer Pc gamer Nitro V 15 - i7-13620H / 16Go / 512Go - Nvidia GeForce RTX™ 5060 (NH.QZAEF.00K),1559000,Acer,Jumia,https://www.jumia.ma/acer-pc-gamer-nitro-v-15-i7-13620h-16go-512go-nvidia-geforce-rtxtm-5060-nh.qzaef.00k-67308792.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/780376/1.jpg?6566,pc portable,12,False,2026-04-19 00:29:27
Asus PC Portable Zenbook DUO 14'' U9- 32Go -2To SSD -W11H,3861200,Asus,Jumia,https://www.jumia.ma/pc-portable-zenbook-duo-14-u9-32go-2to-ssd-w11h-asus-mpg1565141.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/442576/1.jpg?6541,pc portable,12,False,2026-04-19 00:29:27
Hp PC PORTABLE  ELITEBOOK 840 G5 8ÉME GÉN-CORE I5-32Go-1000Go SSD-AZERTY-Remise à neuf,449900,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-elitebook-840-g5-8eme-gen-core-i5-32go-1000go-ssd-azerty-remise-a-neuf-66965297.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/256966/1.jpg?5047,pc portable,12,False,2026-04-19 00:29:27
Table Pliable en Alliage Aluminium Table de lit Compacte et Légère pour PC Portable,22900,Table,Jumia,https://www.jumia.ma/generic-table-pliable-en-alliage-aluminium-table-de-lit-compacte-et-legere-pour-pc-portable-40885893.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/858804/1.jpg?5870,pc portable,12,False,2026-04-19 00:29:27
